route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
404,0000000092022091220230609,0003801382022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000252022091220230609,0003801392022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801402022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000092022091220230609,0003801412022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000252022091220230609,0003801422022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801452022091220230609,Mattarello Piazza Perini,0,D675_T0895_Andata_ALTA_sub2,1
404,0000000022022091220230609,0003801462022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801472022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801482022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801492022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801502022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801512022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801522022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801532022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801542022091220230609,Mattarello Sud,0,D671_T0893_Andata_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801552022091220230609,Guardini "Centochiavi",1,D670_T0892_Ritorno_PRINCIPALE_ALTA_sub1,1
404,0000000022022091220230609,0003801562022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801572022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801582022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000022022091220230609,0003801592022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801602022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801612022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801622022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801632022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000092022091220230609,0003801642022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000102022091220230609,0003801682022091220230609,Mattarello Piazza Perini,0,D675_T0895_Andata_ALTA_sub2,1
404,0000000022022091220230609,0003801692022091220230609,Piazza Dante "Dogana",1,D678_T0898_Ritorno_BASSA_sub1,1
396,0000000032022091220230609,0003801722022091220230609,Zambra "Top Center",1,D554_T0340_Ritorno_sub2,1
404,0000000102022091220230609,0003801742022091220230609,Guardini "Centochiavi",1,D669_T0892a_Ritorno_PRINCIPALE_BASSA_sub2,1
404,0000000032022091220230609,0003801762022091220230609,Piazza Dante "Dogana",1,D663_T0878a_Ritorno_sub1,1
396,0000000022022091220230609,0003801792022091220230609,Conci "Villazzano 3",0,D149_F0311a_Andata_sub2,1
396,0000000032022091220230609,0003801802022091220230609,Verona "Palazzo Stella",0,D534_T0307_Andata_sub2,1
