stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
2668,27510-,Fersina "Zona Artigianale",,46.038208,11.124586,11015,1
2669,27515-,Fersina "Zona Sportiva",,46.041683,11.123708,10110,2
2670,24910-,Piazza Cappuccini,,46.073078,11.128446,10110,
2671,24915-,Avancini Laste,,46.071423,11.130839,10110,2
2672,24920-,Rsa Angeli Custodi,,46.069881,11.131245,10110,
2673,24925-,Giardini Collina,,46.068142,11.129678,10110,2
2676,31326-,Via Cittadella Via Mozart,,45.901288,11.040120,10121,1
2680,20145-,Gazzoletti Piazza Dante,,46.071816,11.121971,10110,1
2682,25050-,Povo Sommarive,,46.065587,11.150445,10110,2
2683,25055z,Povo "Polo Scientifico" Est,,46.067773,11.150538,10110,2
2686,33041e,Isera P.Zza S.Vincenzo-E.,,45.885397,11.009288,13041,2
2688,25650x,Villazzano "Stazione Fs",,46.044758,11.139687,15650,1
2689,25650z,Villazzano "Stazione Fs",,46.044754,11.139434,10110,1
2699,32221x,Ss.12 "Rovercenter",,45.864206,11.029049,10101,2
2701,25815x,Ss 349 Pozzata,,46.041780,11.142380,10110,2
2702,27520-,Parcheggio Ghiaie,,46.038742,11.124360,11015,
2706,31586o,Via Pedroni,,45.892216,11.033019,10121,
2707,31692o,Via Unione "Residenza Eos",,45.893295,11.027252,10121,2
2710,31694o,Via Unione Scuole Filzi,,45.888721,11.024218,10121,1
2713,21290z,Dos Trento Mariano,,46.073694,11.114478,10110,2
2746,33066z,Lenzima Via Della Vittoria,via della Vittoria 13,45.877392,10.991753,13041,2
2747,33066x,Lenzima Via Della Vittoria,via della Vittoria fronte civ. 11,45.877342,10.991621,13041,2
2757,32611z,Noriglio Mon. Ai Caduti,,45.883987,11.070215,10101,2
2758,31811z,Viale Vittoria Scuole Degasperi,,45.884932,11.023890,10101,1
2759,24913-,Via Delle Laste,,46.072467,11.129917,10110,
2760,37101-,Savignano,,45.938008,11.056053,17031,
2763,22815c,Gard.D.Mezzo Dos D.La Luna,via Dos de la Luna 54,46.115345,11.117265,10110,2
2764,22820z,Gard.D.Mezzo Maso Garbini,via Dos de la Luna 2,46.114495,11.116630,10110,2
2767,23425z,Vigo Meano "S.Pietro",,46.128252,11.134570,10110,1
2768,31694e,Via Unione Scuole Filzi,,45.888575,11.024195,10101,2
2770,31329s,Via Comel,,45.904014,11.042308,10101,
2775,31726x,Via Zigherane,,45.879247,11.023763,10101,
2776,31726z,Via Zigherane,,45.879590,11.023308,10101,2
2777,31736c,Baldresca,,45.880129,11.028544,10101,
2780,21687z,Ss 45 S.Giorgio,,46.078668,11.099299,10110,2
2782,22555z,Spini "Pal. Giano",,46.121670,11.095136,10110,1
2783,22555x,Spini "Pal. Giano",,46.121606,11.095086,10110,1
